Size,Data Type,Run,Execution Time (sec),Comparisons,Exchanges
0,random,1,0.000000,0,0
0,random,2,0.000000,0,0
0,random,3,0.000000,0,0
0,random,4,0.000000,0,0
0,random,5,0.000000,0,0
0,random,6,0.000000,0,0
0,random,7,0.000000,0,0
0,random,8,0.000000,0,0
0,random,9,0.000000,0,0
0,random,10,0.000000,0,0
0,sorted,1,0.000000,0,0
0,sorted,2,0.000000,0,0
0,sorted,3,0.000000,0,0
0,sorted,4,0.000000,0,0
0,sorted,5,0.000000,0,0
0,sorted,6,0.000000,0,0
0,sorted,7,0.000000,0,0
0,sorted,8,0.000000,0,0
0,sorted,9,0.000000,0,0
0,sorted,10,0.000000,0,0
0,reverse_sorted,1,0.000000,0,0
0,reverse_sorted,2,0.000000,0,0
0,reverse_sorted,3,0.000000,0,0
0,reverse_sorted,4,0.000000,0,0
0,reverse_sorted,5,0.000000,0,0
0,reverse_sorted,6,0.000000,0,0
0,reverse_sorted,7,0.000000,0,0
0,reverse_sorted,8,0.000000,0,0
0,reverse_sorted,9,0.000000,0,0
0,reverse_sorted,10,0.000000,0,0
10000,random,1,0.011962,24744822,24734834
10000,random,2,0.011387,24744822,24734834
10000,random,3,0.011446,24744822,24734834
10000,random,4,0.011377,24744822,24734834
10000,random,5,0.011386,24744822,24734834
10000,random,6,0.011377,24744822,24734834
10000,random,7,0.011386,24744822,24734834
10000,random,8,0.011373,24744822,24734834
10000,random,9,0.011390,24744822,24734834
10000,random,10,0.011388,24744822,24734834
10000,sorted,1,0.000011,9999,0
10000,sorted,2,0.000011,9999,0
10000,sorted,3,0.000011,9999,0
10000,sorted,4,0.000011,9999,0
10000,sorted,5,0.000011,9999,0
10000,sorted,6,0.000011,9999,0
10000,sorted,7,0.000011,9999,0
10000,sorted,8,0.000011,9999,0
10000,sorted,9,0.000011,9999,0
10000,sorted,10,0.000011,9999,0
10000,reverse_sorted,1,0.022983,49995000,49995000
10000,reverse_sorted,2,0.022945,49995000,49995000
10000,reverse_sorted,3,0.022909,49995000,49995000
10000,reverse_sorted,4,0.022927,49995000,49995000
10000,reverse_sorted,5,0.022918,49995000,49995000
10000,reverse_sorted,6,0.022995,49995000,49995000
10000,reverse_sorted,7,0.022974,49995000,49995000
10000,reverse_sorted,8,0.023020,49995000,49995000
10000,reverse_sorted,9,0.023017,49995000,49995000
10000,reverse_sorted,10,0.022986,49995000,49995000
20000,random,1,0.047670,100031988,100011999
20000,random,2,0.046033,100031988,100011999
20000,random,3,0.046248,100031988,100011999
20000,random,4,0.048633,100031988,100011999
20000,random,5,0.047480,100031988,100011999
20000,random,6,0.046404,100031988,100011999
20000,random,7,0.046048,100031988,100011999
20000,random,8,0.046495,100031988,100011999
20000,random,9,0.046199,100031988,100011999
20000,random,10,0.046832,100031988,100011999
20000,sorted,1,0.000023,19999,0
20000,sorted,2,0.000023,19999,0
20000,sorted,3,0.000023,19999,0
20000,sorted,4,0.000023,19999,0
20000,sorted,5,0.000023,19999,0
20000,sorted,6,0.000023,19999,0
20000,sorted,7,0.000023,19999,0
20000,sorted,8,0.000023,19999,0
20000,sorted,9,0.000023,19999,0
20000,sorted,10,0.000023,19999,0
20000,reverse_sorted,1,0.092581,199990000,199990000
20000,reverse_sorted,2,0.092413,199990000,199990000
20000,reverse_sorted,3,0.092812,199990000,199990000
20000,reverse_sorted,4,0.092778,199990000,199990000
20000,reverse_sorted,5,0.092749,199990000,199990000
20000,reverse_sorted,6,0.092409,199990000,199990000
20000,reverse_sorted,7,0.092765,199990000,199990000
20000,reverse_sorted,8,0.092999,199990000,199990000
20000,reverse_sorted,9,0.092306,199990000,199990000
20000,reverse_sorted,10,0.091724,199990000,199990000
30000,random,1,0.102373,222899241,222869248
30000,random,2,0.102336,222899241,222869248
30000,random,3,0.102437,222899241,222869248
30000,random,4,0.103062,222899241,222869248
30000,random,5,0.102304,222899241,222869248
30000,random,6,0.102308,222899241,222869248
30000,random,7,0.102346,222899241,222869248
30000,random,8,0.108224,222899241,222869248
30000,random,9,0.106030,222899241,222869248
30000,random,10,0.102390,222899241,222869248
30000,sorted,1,0.000034,29999,0
30000,sorted,2,0.000034,29999,0
30000,sorted,3,0.000034,29999,0
30000,sorted,4,0.000034,29999,0
30000,sorted,5,0.000039,29999,0
30000,sorted,6,0.000035,29999,0
30000,sorted,7,0.000034,29999,0
30000,sorted,8,0.000034,29999,0
30000,sorted,9,0.000034,29999,0
30000,sorted,10,0.000034,29999,0
30000,reverse_sorted,1,0.206389,449985000,449985000
30000,reverse_sorted,2,0.206256,449985000,449985000
30000,reverse_sorted,3,0.206308,449985000,449985000
30000,reverse_sorted,4,0.206231,449985000,449985000
30000,reverse_sorted,5,0.206713,449985000,449985000
30000,reverse_sorted,6,0.208053,449985000,449985000
30000,reverse_sorted,7,0.207219,449985000,449985000
30000,reverse_sorted,8,0.206486,449985000,449985000
30000,reverse_sorted,9,0.212198,449985000,449985000
30000,reverse_sorted,10,0.206593,449985000,449985000
40000,random,1,0.183813,400073821,400033834
40000,random,2,0.188399,400073821,400033834
40000,random,3,0.187302,400073821,400033834
40000,random,4,0.185878,400073821,400033834
40000,random,5,0.186157,400073821,400033834
40000,random,6,0.186579,400073821,400033834
40000,random,7,0.188319,400073821,400033834
40000,random,8,0.186652,400073821,400033834
40000,random,9,0.183697,400073821,400033834
40000,random,10,0.183887,400073821,400033834
40000,sorted,1,0.000046,39999,0
40000,sorted,2,0.000046,39999,0
40000,sorted,3,0.000046,39999,0
40000,sorted,4,0.000046,39999,0
40000,sorted,5,0.000046,39999,0
40000,sorted,6,0.000046,39999,0
40000,sorted,7,0.000050,39999,0
40000,sorted,8,0.000046,39999,0
40000,sorted,9,0.000046,39999,0
40000,sorted,10,0.000046,39999,0
40000,reverse_sorted,1,0.367364,799980000,799980000
40000,reverse_sorted,2,0.367794,799980000,799980000
40000,reverse_sorted,3,0.367735,799980000,799980000
40000,reverse_sorted,4,0.368335,799980000,799980000
40000,reverse_sorted,5,0.367646,799980000,799980000
40000,reverse_sorted,6,0.370549,799980000,799980000
40000,reverse_sorted,7,0.370967,799980000,799980000
40000,reverse_sorted,8,0.367371,799980000,799980000
40000,reverse_sorted,9,0.367844,799980000,799980000
40000,reverse_sorted,10,0.369027,799980000,799980000
50000,random,1,0.294159,624819532,624769540
50000,random,2,0.287202,624819532,624769540
50000,random,3,0.288169,624819532,624769540
50000,random,4,0.289410,624819532,624769540
50000,random,5,0.287889,624819532,624769540
50000,random,6,0.287355,624819532,624769540
50000,random,7,0.300431,624819532,624769540
50000,random,8,0.293451,624819532,624769540
50000,random,9,0.288257,624819532,624769540
50000,random,10,0.289537,624819532,624769540
50000,sorted,1,0.000057,49999,0
50000,sorted,2,0.000058,49999,0
50000,sorted,3,0.000057,49999,0
50000,sorted,4,0.000057,49999,0
50000,sorted,5,0.000057,49999,0
50000,sorted,6,0.000057,49999,0
50000,sorted,7,0.000057,49999,0
50000,sorted,8,0.000057,49999,0
50000,sorted,9,0.000057,49999,0
50000,sorted,10,0.000057,49999,0
50000,reverse_sorted,1,0.574478,1249975000,1249975000
50000,reverse_sorted,2,0.580526,1249975000,1249975000
50000,reverse_sorted,3,0.577313,1249975000,1249975000
50000,reverse_sorted,4,0.575059,1249975000,1249975000
50000,reverse_sorted,5,0.575848,1249975000,1249975000
50000,reverse_sorted,6,0.579935,1249975000,1249975000
50000,reverse_sorted,7,0.581063,1249975000,1249975000
50000,reverse_sorted,8,0.576681,1249975000,1249975000
50000,reverse_sorted,9,0.576352,1249975000,1249975000
50000,reverse_sorted,10,0.581292,1249975000,1249975000
60000,random,1,0.418778,904418111,904358120
60000,random,2,0.416745,904418111,904358120
60000,random,3,0.416500,904418111,904358120
60000,random,4,0.420136,904418111,904358120
60000,random,5,0.416018,904418111,904358120
60000,random,6,0.416181,904418111,904358120
60000,random,7,0.416202,904418111,904358120
60000,random,8,0.416384,904418111,904358120
60000,random,9,0.416595,904418111,904358120
60000,random,10,0.417424,904418111,904358120
60000,sorted,1,0.000069,59999,0
60000,sorted,2,0.000069,59999,0
60000,sorted,3,0.000069,59999,0
60000,sorted,4,0.000069,59999,0
60000,sorted,5,0.000069,59999,0
60000,sorted,6,0.000069,59999,0
60000,sorted,7,0.000074,59999,0
60000,sorted,8,0.000069,59999,0
60000,sorted,9,0.000069,59999,0
60000,sorted,10,0.000069,59999,0
60000,reverse_sorted,1,0.830162,1799970000,1799970000
60000,reverse_sorted,2,0.831099,1799970000,1799970000
60000,reverse_sorted,3,0.830893,1799970000,1799970000
60000,reverse_sorted,4,0.829322,1799970000,1799970000
60000,reverse_sorted,5,0.830047,1799970000,1799970000
60000,reverse_sorted,6,0.827728,1799970000,1799970000
60000,reverse_sorted,7,0.844853,1799970000,1799970000
60000,reverse_sorted,8,0.830503,1799970000,1799970000
60000,reverse_sorted,9,0.830715,1799970000,1799970000
60000,reverse_sorted,10,0.830148,1799970000,1799970000
70000,random,1,0.568886,1235136583,1235066597
70000,random,2,0.567928,1235136583,1235066597
70000,random,3,0.566960,1235136583,1235066597
70000,random,4,0.568195,1235136583,1235066597
70000,random,5,0.584097,1235136583,1235066597
70000,random,6,0.574401,1235136583,1235066597
70000,random,7,0.567082,1235136583,1235066597
70000,random,8,0.568417,1235136583,1235066597
70000,random,9,0.572619,1235136583,1235066597
70000,random,10,0.568364,1235136583,1235066597
70000,sorted,1,0.000084,69999,0
70000,sorted,2,0.000080,69999,0
70000,sorted,3,0.000080,69999,0
70000,sorted,4,0.000080,69999,0
70000,sorted,5,0.000080,69999,0
70000,sorted,6,0.000080,69999,0
70000,sorted,7,0.000080,69999,0
70000,sorted,8,0.000080,69999,0
70000,sorted,9,0.000080,69999,0
70000,sorted,10,0.000080,69999,0
70000,reverse_sorted,1,1.126161,2449965000,2449965000
70000,reverse_sorted,2,1.130806,2449965000,2449965000
70000,reverse_sorted,3,1.168332,2449965000,2449965000
70000,reverse_sorted,4,1.135821,2449965000,2449965000
70000,reverse_sorted,5,1.134417,2449965000,2449965000
70000,reverse_sorted,6,1.148995,2449965000,2449965000
