Size,Data Type,Execution Time Mean,Execution Time Median,Execution Time Std,Execution Time Var,Comparisons Mean,Comparisons Median,Comparisons Std,Comparisons Var,Exchanges Mean,Exchanges Median,Exchanges Std,Exchanges Var
0,random,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,reverse_sorted,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,sorted,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10000,random,0.0005883,0.000603,2.49846619615582e-05,6.242333333333332e-10,235381.0,235381.0,0.0,0.0,124214.0,124214.0,0.0,0.0
10000,reverse_sorted,0.0004566,0.000458,8.745792639257405e-06,7.6488888888889e-11,226682.0,226682.0,0.0,0.0,116697.0,116697.0,0.0,0.0
10000,sorted,0.0004137,0.0004115,1.1709919821340457e-05,1.3712222222222214e-10,244460.0,244460.0,0.0,0.0,131957.0,131957.0,0.0,0.0
20000,random,0.0012989,0.0013005,3.552604678260724e-05,1.262099999999998e-09,510593.0,510593.0,0.0,0.0,268229.0,268229.0,0.0,0.0
20000,reverse_sorted,0.0009122000000000002,0.0009115,2.3747748431284082e-05,5.639555555555556e-10,493307.0,493307.0,0.0,0.0,254335.0,254335.0,0.0,0.0
20000,sorted,0.0008523,0.0008545,1.7397637132029667e-05,3.026777777777775e-10,529074.0,529074.0,0.0,0.0,282879.0,282879.0,0.0,0.0
30000,random,0.002046,0.0020645,7.510289238401171e-05,5.640444444444444e-09,800601.0,800601.0,0.0,0.0,419953.0,419953.0,0.0,0.0
30000,reverse_sorted,0.0013877999999999998,0.001375,4.936215374375617e-05,2.436622222222221e-09,775687.0,775687.0,0.0,0.0,399213.0,399213.0,0.0,0.0
30000,sorted,0.0012629,0.0012225,7.5759047864485e-05,5.73943333333333e-09,826347.0,826347.0,0.0,0.0,440101.0,440101.0,0.0,0.0
40000,random,0.0028259,0.0028320000000000003,7.211171888119156e-05,5.200099999999999e-09,1101623.0,1101623.0,0.0,0.0,576870.0,576870.0,0.0,0.0
40000,reverse_sorted,0.0018162999999999999,0.0018245,3.9676609398149636e-05,1.574233333333336e-09,1067779.0,1067779.0,0.0,0.0,547629.0,547629.0,0.0,0.0
40000,sorted,0.0016996000000000001,0.0016970000000000002,3.180565987367658e-05,1.0116000000000003e-09,1138114.0,1138114.0,0.0,0.0,605203.0,605203.0,0.0,0.0
50000,random,0.003581,0.003601,6.719292290776526e-05,4.514888888888884e-09,1409470.0,1409470.0,0.0,0.0,737252.0,737252.0,0.0,0.0
50000,reverse_sorted,0.0023138000000000004,0.0023125,3.119401652026669e-05,9.73066666666671e-10,1366047.0,1366047.0,0.0,0.0,698893.0,698893.0,0.0,0.0
50000,sorted,0.0020509,0.0020455,3.088491181431119e-05,9.538777777777787e-10,1455438.0,1455438.0,0.0,0.0,773305.0,773305.0,0.0,0.0
60000,random,0.0044378,0.004424,8.32249962451184e-05,6.926399999999971e-09,1721521.0,1721521.0,0.0,0.0,899845.0,899845.0,0.0,0.0
60000,reverse_sorted,0.0027697,0.0027695000000000003,3.374429993017754e-05,1.1386777777777798e-09,1670717.0,1670717.0,0.0,0.0,854795.0,854795.0,0.0,0.0
60000,sorted,0.0024571999999999997,0.002452,2.6135544124174438e-05,6.830666666666691e-10,1772744.0,1772744.0,0.0,0.0,941417.0,941417.0,0.0,0.0
70000,random,0.005194300000000001,0.0052204999999999994,7.483619148216686e-05,5.600455555555544e-09,2038191.0,2038191.0,0.0,0.0,1064340.0,1064340.0,0.0,0.0
70000,reverse_sorted,0.0032337999999999998,0.003231,4.789293615277026e-05,2.293733333333329e-09,1978603.0,1978603.0,0.0,0.0,1012683.0,1012683.0,0.0,0.0
70000,sorted,0.0028692999999999995,0.0028694999999999997,2.5254482550408468e-05,6.377888888888858e-10,2099178.0,2099178.0,0.0,0.0,1114303.0,1114303.0,0.0,0.0
80000,random,0.0059731,0.0059845,0.00011273119453914349,1.2708322222222214e-08,2363088.0,2363088.0,0.0,0.0,1233926.0,1233926.0,0.0,0.0
80000,reverse_sorted,0.0036597000000000005,0.0037010000000000003,8.451304961694113e-05,7.142455555555553e-09,2292813.0,2292813.0,0.0,0.0,1174075.0,1174075.0,0.0,0.0
80000,sorted,0.0032918,0.0032684999999999997,7.083125487146668e-05,5.017066666666672e-09,2436967.0,2436967.0,0.0,0.0,1293151.0,1293151.0,0.0,0.0
90000,random,0.0068233,0.006827,0.00011880333889808536,1.411423333333332e-08,2690082.0,2690082.0,0.0,0.0,1403651.0,1403651.0,0.0,0.0
90000,reverse_sorted,0.004154400000000001,0.0041659999999999996,4.452514894853119e-05,1.9824888888888876e-09,2608253.0,2608253.0,0.0,0.0,1334933.0,1334933.0,0.0,0.0
90000,sorted,0.0037307,0.0037115,5.841052036139465e-05,3.411788888888899e-09,2774750.0,2774750.0,0.0,0.0,1471999.0,1471999.0,0.0,0.0
100000,random,0.0076686,0.007647,0.00010941480704182602,1.1971600000000021e-08,3019859.0,3019859.0,0.0,0.0,1574986.0,1574986.0,0.0,0.0
100000,reverse_sorted,0.004638,0.0046445,2.6641654936917475e-05,7.097777777777793e-10,2926640.0,2926640.0,0.0,0.0,1497435.0,1497435.0,0.0,0.0
100000,sorted,0.0041218999999999995,0.0041165,3.380483200175195e-05,1.1427666666666725e-09,3112517.0,3112517.0,0.0,0.0,1650855.0,1650855.0,0.0,0.0
